date,demand,RRP,demand_pos_RRP,RRP_positive
4/20/2015,126696.19,33.67717583,126696.19,33.67717583
4/21/2015,127973.585,30.4731569,127973.585,30.4731569
4/22/2015,128598.495,36.69528357,128598.495,36.69528357
4/23/2015,126483.805,35.42248474,126483.805,35.42248474
4/24/2015,126230.785,36.4979363,126230.785,36.4979363
4/25/2015,111803.625,25.97830858,111803.625,25.97830858
4/26/2015,108217.82,28.95541976,108217.82,28.95541976
4/27/2015,127855.22,48.67306836,127855.22,48.67306836
4/28/2015,132642.14,46.2680344,132642.14,46.2680344
4/29/2015,132814.615,39.82982089,132814.615,39.82982089
4/30/2015,132669.58,39.09265231,132669.58,39.09265231
5/1/2015,126304.445,47.4744621,126304.445,47.4744621
5/2/2015,108487.975,25.8520399,108487.975,25.8520399
5/3/2015,109233.34,30.62706307,109233.34,30.62706307
5/4/2015,122375.47,28.80303794,122375.47,28.80303794
5/5/2015,123734.865,27.38334397,123734.865,27.38334397
5/6/2015,129121.86,26.02258938,129121.86,26.02258938
5/7/2015,131237.185,29.08203003,131237.185,29.08203003
5/8/2015,131138.73,29.07560905,131138.73,29.07560905
5/9/2015,108377.05,19.60236047,108377.05,19.60236047
5/10/2015,103811.28,13.27984076,84331.03,18.30634177
5/11/2015,123740.245,28.47548938,121962.52,28.93165225
5/12/2015,129312.58,28.35535897,129312.58,28.35535897
5/13/2015,136903.27,33.6029018,136903.27,33.6029018
5/14/2015,135217.65,36.08497609,135217.65,36.08497609
5/15/2015,135172.41,32.88820189,135172.41,32.88820189
5/16/2015,117136.63,35.11935553,117136.63,35.11935553
5/17/2015,111897.085,30.54759947,111897.085,30.54759947
5/18/2015,127524.8,39.33371288,127524.8,39.33371288
5/19/2015,133235.48,34.03831774,133235.48,34.03831774
5/20/2015,127522.71,30.97608603,127522.71,30.97608603
5/21/2015,135361.195,35.62199843,135361.195,35.62199843
5/22/2015,133422.46,34.61410533,133422.46,34.61410533
5/23/2015,119331.85,31.22698432,119331.85,31.22698432
5/24/2015,118783.085,31.49325856,118783.085,31.49325856
5/25/2015,136690.92,51.61033015,136690.92,51.61033015
5/26/2015,140886.995,46.40181363,140886.995,46.40181363
5/27/2015,133103.37,29.88407137,133103.37,29.88407137
5/28/2015,127900.235,26.09688903,127900.235,26.09688903
5/29/2015,132338.94,29.80358005,132338.94,29.80358005
5/30/2015,114669.79,19.04882579,114669.79,19.04882579
5/31/2015,113261.26,18.57271408,113261.26,18.57271408
6/1/2015,140919.995,36.92812664,140919.995,36.92812664
6/2/2015,148534.505,59.85603338,148534.505,59.85603338
6/3/2015,146902.95,50.5626836,146902.95,50.5626836
6/4/2015,147155.265,33.05028479,147155.265,33.05028479
6/5/2015,142625.035,37.96653889,142625.035,37.96653889
6/6/2015,120128.295,30.18134685,120128.295,30.18134685
6/7/2015,109609.685,23.38038485,109609.685,23.38038485
6/8/2015,110715.815,24.3576365,110715.815,24.3576365
6/9/2015,132854.135,36.71427512,132854.135,36.71427512
6/10/2015,144125.525,39.76613747,144125.525,39.76613747
6/11/2015,143465.445,37.48182938,143465.445,37.48182938
6/12/2015,145005.62,37.53937282,145005.62,37.53937282
6/13/2015,123754.55,29.86858815,123754.55,29.86858815
6/14/2015,119125.62,31.59818231,119125.62,31.59818231
6/15/2015,136054.145,36.01098153,136054.145,36.01098153
6/16/2015,139073.785,36.94281938,139073.785,36.94281938
6/17/2015,134290.46,39.27859913,134290.46,39.27859913
6/18/2015,137073.775,37.45776352,137073.775,37.45776352
6/19/2015,139781.245,38.55071374,139781.245,38.55071374
6/20/2015,129576.36,41.09768311,129576.36,41.09768311
6/21/2015,124910.57,33.90238984,124910.57,33.90238984
6/22/2015,140431.36,30.47783118,140431.36,30.47783118
6/23/2015,133171.4,30.2380616,133171.4,30.2380616
6/24/2015,135407.57,32.21777895,135407.57,32.21777895
6/25/2015,137379.23,33.05483817,137379.23,33.05483817
6/26/2015,135562.075,31.92862512,135562.075,31.92862512
6/27/2015,124587.43,28.29254035,124587.43,28.29254035
6/28/2015,119277.48,31.00149176,119277.48,31.00149176
6/29/2015,139468.155,35.77539876,139468.155,35.77539876
6/30/2015,143170.055,37.6252582,143170.055,37.6252582
7/1/2015,138931,29.52094616,138931,29.52094616
7/2/2015,138972.425,35.6183138,138972.425,35.6183138
7/3/2015,145713.81,42.62957624,145713.81,42.62957624
7/4/2015,130073.27,29.12782527,130073.27,29.12782527
7/5/2015,117312.925,24.00328983,117312.925,24.00328983
7/6/2015,143176.335,36.04178884,143176.335,36.04178884
7/7/2015,143984.39,37.29751745,143984.39,37.29751745
7/8/2015,141696.295,40.58380685,141696.295,40.58380685
7/9/2015,141994.375,38.51727354,141994.375,38.51727354
7/10/2015,136884.095,32.28845537,136884.095,32.28845537
7/11/2015,123971.705,30.62181991,123971.705,30.62181991
7/12/2015,124790.695,33.15211905,124790.695,33.15211905
7/13/2015,138680.335,47.52630153,138680.335,47.52630153
7/14/2015,150671.105,45.25558281,150671.105,45.25558281
7/15/2015,151270.54,50.4974182,151270.54,50.4974182
7/16/2015,144797.98,40.47170764,144797.98,40.47170764
7/17/2015,142965.48,49.21850696,142965.48,49.21850696
7/18/2015,130187.445,44.09776708,130187.445,44.09776708
7/19/2015,131141.355,43.57342248,131141.355,43.57342248
7/20/2015,146154.37,41.79671269,146154.37,41.79671269
7/21/2015,138931.81,28.89548968,138931.81,28.89548968
7/22/2015,138418.835,33.70727752,138418.835,33.70727752
7/23/2015,142316.295,33.97518484,142316.295,33.97518484
7/24/2015,136837.155,27.6698245,136837.155,27.6698245
7/25/2015,121021.425,22.2391885,121021.425,22.2391885
7/26/2015,120396.735,22.38424622,120396.735,22.38424622
7/27/2015,142470.43,35.17621745,142470.43,35.17621745
7/28/2015,144008.37,40.75298793,144008.37,40.75298793
7/29/2015,142637.76,37.23752124,142637.76,37.23752124
7/30/2015,143544.11,29.12283736,143544.11,29.12283736
7/31/2015,139584.955,35.05977109,139584.955,35.05977109
8/1/2015,125032.57,29.88013959,123063.545,30.397744
8/2/2015,117638.065,23.37418658,117638.065,23.37418658
8/3/2015,141451.725,38.12797815,139473.49,38.67813099
8/4/2015,147550.185,44.67333638,147550.185,44.67333638
8/5/2015,142325.99,42.5957224,142325.99,42.5957224
8/6/2015,143642.355,48.94517285,143642.355,48.94517285
8/7/2015,143060.33,42.78284919,143060.33,42.78284919
8/8/2015,125830.535,39.11605998,125830.535,39.11605998
8/9/2015,120008.455,29.44132945,120008.455,29.44132945
8/10/2015,130978.095,30.09105237,130978.095,30.09105237
8/11/2015,135616.125,31.94331353,135616.125,31.94331353
8/12/2015,138900.5,37.33841387,138900.5,37.33841387
8/13/2015,140905.85,36.73054058,140905.85,36.73054058
8/14/2015,137838.925,35.43773739,137838.925,35.43773739
8/15/2015,122088.76,34.08615436,122088.76,34.08615436
8/16/2015,116648.77,25.31764941,116648.77,25.31764941
8/17/2015,137008.71,31.79373023,137008.71,31.79373023
8/18/2015,148093.96,45.28668706,148093.96,45.28668706
8/19/2015,144024.66,39.23515304,144024.66,39.23515304
8/20/2015,131575.79,30.54500061,131575.79,30.54500061
8/21/2015,126570.47,38.88847204,126570.47,38.88847204
8/22/2015,112275.15,32.23832167,112275.15,32.23832167
8/23/2015,111793.015,29.44134872,111793.015,29.44134872
8/24/2015,128868.255,26.61266289,128868.255,26.61266289
8/25/2015,135051.545,28.80467771,135051.545,28.80467771
8/26/2015,135914.68,37.13177468,135914.68,37.13177468
8/27/2015,141159.77,41.60533545,141159.77,41.60533545
8/28/2015,134755.505,38.17912007,134755.505,38.17912007
8/29/2015,124448.5,35.47451361,124448.5,35.47451361
8/30/2015,116744.215,42.41417956,116744.215,42.41417956
8/31/2015,137724.895,50.27328749,137724.895,50.27328749
9/1/2015,134116.77,50.14578439,134116.77,50.14578439
9/2/2015,132794.715,49.03831254,132794.715,49.03831254
9/3/2015,132096.335,45.54626467,132096.335,45.54626467
9/4/2015,131384.88,65.73690671,131384.88,65.73690671
9/5/2015,115799.32,57.1775692,115799.32,57.1775692
9/6/2015,109641.375,40.58176552,109641.375,40.58176552
9/7/2015,131619.365,38.52697878,131619.365,38.52697878
9/8/2015,136340.7,41.71038161,136340.7,41.71038161
9/9/2015,132977.45,48.12810484,132977.45,48.12810484
9/10/2015,133541.98,48.91956662,133541.98,48.91956662
9/11/2015,123968.9,36.08846518,123968.9,36.08846518
9/12/2015,108790.005,37.65455156,108790.005,37.65455156
9/13/2015,99161.765,30.35960587,99161.765,30.35960587
9/14/2015,116574.17,32.34565421,116574.17,32.34565421
9/15/2015,123750.5,34.50652241,123750.5,34.50652241
9/16/2015,131795.485,38.96606247,131795.485,38.96606247
9/17/2015,131050.675,40.63926437,131050.675,40.63926437
9/18/2015,130764.585,40.63008102,130764.585,40.63008102
9/19/2015,112377.185,47.82671203,112377.185,47.82671203
9/20/2015,103708.925,32.85772784,103708.925,32.85772784
9/21/2015,120096.71,44.95597741,120096.71,44.95597741
9/22/2015,127755.095,99.47616671,127755.095,99.47616671
9/23/2015,131866.73,49.76861067,131866.73,49.76861067
9/24/2015,130937.625,54.98052681,130937.625,54.98052681
9/25/2015,124278.93,51.08100179,124278.93,51.08100179
9/26/2015,111064.49,48.78936994,111064.49,48.78936994
9/27/2015,106431.815,43.93161371,106431.815,43.93161371
9/28/2015,121796.715,42.02601538,121796.715,42.02601538
9/29/2015,126691.8,37.64010125,126691.8,37.64010125
9/30/2015,129641.245,41.98096898,129641.245,41.98096898
10/1/2015,124356.415,34.80976299,124356.415,34.80976299
10/2/2015,107544.145,38.30698393,107544.145,38.30698393
10/3/2015,100598.55,30.78069241,100598.55,30.78069241
10/4/2015,103828.88,36.56069849,103828.88,36.56069849
10/5/2015,125194.87,38.97200519,125194.87,38.97200519
10/6/2015,127225.245,36.24445144,127225.245,36.24445144
10/7/2015,117282.765,31.59640663,117282.765,31.59640663
10/8/2015,122121.325,36.14098237,122121.325,36.14098237
10/9/2015,126989.905,41.41507492,126989.905,41.41507492
10/10/2015,112604.825,34.80317686,112604.825,34.80317686
10/11/2015,105376.335,29.90281083,105376.335,29.90281083
10/12/2015,120916.215,36.35362381,120916.215,36.35362381
10/13/2015,122830.38,41.49816809,122830.38,41.49816809
10/14/2015,126919.195,45.5634402,126919.195,45.5634402
10/15/2015,130260.37,39.06694868,130260.37,39.06694868
10/16/2015,123985.97,43.80436083,123985.97,43.80436083
10/17/2015,104916.345,29.67361006,104916.345,29.67361006
10/18/2015,100812.04,29.12086757,100812.04,29.12086757
10/19/2015,120795,43.51067632,120795,43.51067632
10/20/2015,126655.49,43.3328692,126655.49,43.3328692
10/21/2015,122368.885,39.68189403,122368.885,39.68189403
10/22/2015,121471.64,44.03304646,121471.64,44.03304646
10/23/2015,120420.7,48.1698968,120420.7,48.1698968
